,,,,,,,,,,,,,,,,
,,,2024年,,,,,,,,,,,,年度總計,
,,損益試算,0 ,0 ,"353,681 ","408,526 ","460,582 ","610,822 ","103,024 ","463,913 ","505,302 ","356,925 ","328,229 ","351,964 ","  351,964 ",
,,獲利率%,#DIV/0!,#DIV/0!,12.8%,11.8%,14.8%,21.6%,2.8%,11.4%,11.4%,7.7%,6.6%,6.8%,6.8%,
,,"標的備註
(寫個大概就好)",,,,,,,,,,,,,,
,國泰美股券商,總現值,,,"10,287 ",,"11,070 ","11,582 ","13,018 ","15,078 ","15,443 ","15,954 ","17,907 ","17,487 ","  17,487 ",
,,總付出成本(含息),,,"8,489 ",,"9,409 ","10,159 ","10,909 ","11,657 ","12,406 ","13,156 ","13,906 ","14,656 ","  14,656 ",
,,損益試算,0 ,0 ,"1,797 ",0 ,"1,661 ","1,422 ","2,108 ","3,421 ","3,037 ","2,798 ","4,001 ","2,830 ","  2,830 ",
,,獲利率%,#DIV/0!,#DIV/0!,21.2%,#DIV/0!,17.7%,14.0%,19.3%,29.3%,24.5%,21.3%,28.8%,19.3%,19.3%,
,,"標的備註
(寫個大概就好)",,,,,,,,,,,,,,
,未實現損益總計,,0 ,0 ,"355,478 ","408,526 ","462,243 ","612,244 ","105,132 ","467,334 ","508,339 ","359,723 ","332,230 ","354,794 ","  354,794 ",
"已實現損益
(每月底更新最終金額)
(金額已含交易成本)",A國泰券商,總賣出金額,,"651,142 ","926,749 ",0 ,"667,466 ","715,189 ",0 ,0 ,0 ,"583,184 ",0 ,0 ,"  3,543,730 ",52.46%
,,總買進金額,0 ,"30,813 ","816,828 ",0 ,"529,772 ","549,622 ",0 ,0 ,0 ,"397,329 ",0 ,0 ,"  2,324,364 ",
,,損益試算,0 ,"620,329 ","109,921 ",0 ,"137,694 ","165,567 ",0 ,0 ,0 ,"185,855 ",0 ,0 ,"  1,219,366 ",
,,報酬率%,#DIV/0!,2013.21%,13.46%,#DIV/0!,25.99%,30.12%,#DIV/0!,#DIV/0!,#DIV/0!,46.78%,#DIV/0!,#DIV/0!,52.46%,
,,"標的備註
(寫個大概就好)",,第一金工業獲利全部釋出,台股20000點，0050部分獲利，電動車不在長期持有,,50 , 0050部分獲利 ,,,,,,,,
,B美股券商,總賣出金額,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,  -   ,
,,總買進金額,,,,,,,,,,,,,  -   ,
,,損益試算,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,  -   ,
,,報酬率%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,"標的備註
(寫個大概就好)",,,,,,,,,,,,,,
,已實現損益總計,,0 ,"620,329 ","109,921 ",0 ,"137,694 ","165,567 ",0 ,0 ,0 ,"185,855 ",0 ,0 ,"1,219,366 ",
,已實現報酬率,,#DIV/0!,2013.21%,13.46%,#DIV/0!,25.99%,30.12%,#DIV/0!,#DIV/0!,#DIV/0!,46.78%,#DIV/0!,#DIV/0!,52.46%,
"交易成本
(依對帳單負值金額填入)","國泰券商
X折",手續費(減項),99 ,269 ,417 ,266 ,308 ,305 ,165 ,283 ,95 ,241 ,91 ,45 ,"2,584 ",
,,電子折讓(加項),,,,,,,,,,,,,0 ,
,,證交稅(減項),,651 ,926 ,,668 ,715 ,,,,584 ,,,"3,544 ",
,"美股國泰券商
X折",手續費(減項),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,
,,電子折讓(加項),,,,,,,,,,,,,0 ,
,,證交稅(減項),,,,,,,,,,,,,0 ,
,交易成本總計,,99 ,920 ,"1,343 ",266 ,976 ,"1,020 ",165 ,283 ,95 ,825 ,91 ,45 ,"6,129 ",
"股息
(依通知書填入)","現金
股利",元大高股息,,969 ,,,"4,081 ",,,"8,500 ",,,"19,775 ",,"33,325 ",
,,元大台灣50,,"57,015 ",,,,,,"10,483 ",,,,,"67,498 ",
,,第一金工業,,"42,804 ",,,,,,,,,,,"42,804 ",
,,國泰永續高股息,,,"2,621 ",,,"5,339 ",,,"13,895 ",,,"20,010 ","41,865 ",
,,元大台灣高息低波,,,804 ,853 ,,,"2,172 ",,,"9,776 ",,,,
,,兆豐金,,,,,,,,,"10,379 ",,,,,
,,群益半導體,,,,,42 ,,,,,,,,42 ,
,"股票
股利",兆豐金,,,,,,,,,207 ,,,,207 ,
,,,,,,,,,,,,,,,0 ,
,,,,,,,,,,,,,,,0 ,
,股息總計,,0 ,"100,788 ","3,425 ",853 ,"4,123 ","5,339 ","2,172 ","18,983 ","24,274 ","9,776 ","19,775 ","20,010 ","209,518 ",
